  PID TTY           TIME CMD
  633 ??         0:00.04 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  635 ??         0:00.13 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  639 ??         0:01.10 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  644 ??         0:00.20 /Users/asatoburen-pettit/Library/NCH Software/ExpressInvoice/ExpressInvoiceAgent -service
  645 ??         0:00.33 /System/Library/CoreServices/AppleIDAuthAgent
  647 ??         0:00.01 /Library/Application Support/AvastSecureLine/components/update/com.avast.secureline.update-agent
  650 ??         0:00.54 com.evernote.EvernoteHelper
  652 ??         0:00.05 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  653 ??         0:00.01 /bin/bash /usr/local/MacGPG2/libexec/shutdown-gpg-agent
  654 ??         0:00.60 com.apple.photostream-agent
  655 ??         0:00.29 /Users/asatoburen-pettit/Library/Application Support/Spotify/SpotifyWebHelper
  658 ??         0:00.02 /System/Library/PrivateFrameworks/HelpData.framework/Versions/A/Resources/helpd
  661 ??         0:00.14 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  662 ??         0:00.43 /System/Library/CoreServices/diagnostics_agent
  668 ??         0:00.01 /Library/Application Support/Avast/components/update/com.avast.update-agent
  670 ??         0:04.33 /Applications/Flux.app/Contents/MacOS/Flux
  671 ??         0:00.07 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  682 ??        11:11.69 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  684 ??         0:00.00 sleep 31536000
  694 ??         0:00.15 /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
  695 ??         0:00.10 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  704 ??         0:00.09 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
  707 ??         0:00.05 /usr/sbin/spindump
  717 ??         0:00.04 /System/Library/CoreServices/SubmitDiagInfo server-init
  719 ??         0:06.90 /System/Library/CoreServices/rcd.app/Contents/MacOS/rcd
  727 ??         0:00.78 /Library/Application Support/Avast/components/helper/com.avast.helper.app/Contents/MacOS/com.avast.helper
  730 ??         0:01.88 /Applications/Alfred.app/Contents/MacOS/Alfred
  746 ??         0:00.03 /System/Library/CoreServices/NotificationCenter.app/Contents/XPCServices/com.apple.notificationcenterui.WeatherSummary.xpc/Contents/MacOS/com.apple.notificationcenterui.WeatherSummary
  751 ??         0:48.62 /Users/asatoburen-pettit/.pia_manager/pia_manager.app/Contents/MacOS/osxruby/ruby -I/Users/asatoburen-pettit/.pia_manager/pia_manager.app/Contents/MacOS/osxruby /Users/asatoburen-pettit/.pia_manager/pia_manager.app/Contents/MacOS/run.rb --run
